Activity,Type,Title,Option,Option,Option,Option,Option
Poll,Multiple choice,What does data linkage mean?,Removing identifying information from a database.,Summarizing records within a single database.,***Joining information from databases using a common identifier.,Collecting new information through a health interview.,
Poll,Multiple choice,What is the main purpose of data mining?,***Finding previously unrecognized patterns in large amounts of data.,Proving that every observed relationship is a cause of disease.,Replacing electronic records with printed copies of the same information.,Removing every error from a collection of health records.,
Poll,Multiple choice,How do census data help us calculate population-based disease rates?,They identify the immediate cause of each recorded death.,They confirm the diagnosis of each reported disease case.,They describe the treatment received by each hospital patient.,***They provide population counts for the denominator of a rate.,
Poll,Open-ended,What are two examples of vital events recorded by the vital registration system?,,,,,
Poll,Multiple choice,What limitation of death certificate data does the chapter describe?,Most deaths in the United States go unrecorded.,***The recorded cause of death may be inaccurate.,Death certificates do not include demographic information.,Death certificates cannot be used to study mortality.,
Poll,Multiple choice,What is the main purpose of public health surveillance?,"***Continuously collecting, analyzing, and sharing health information to guide public health action.",Providing individual treatment plans during routine appointments with healthcare providers.,Collecting health information once and storing it without analysis or interpretation.,Assigning participants to treatments to compare the effects of different medicines.,
Poll,Multiple choice,What makes a disease a reportable disease?,Its cases are described in a published research article.,Its cases are counted in the population census.,Its cases are discussed in a television news report.,***Its cases must be reported to health authorities under law.,
Poll,Open-ended,What is one reason reportable disease statistics may miss some cases of disease?,,,,,
Poll,Multiple choice,What is a case registry?,A list of citations to published health research articles.,***A centralized database of information about a disease and its cases.,A count of all residents in a geographic area.,A schedule of appointments available at a healthcare clinic.,
Poll,Multiple choice,How does the National Health and Nutrition Examination Survey (NHANES) differ from the National Health Interview Survey (NHIS)?,NHANES gathers death certificates instead of conducting interviews.,"NHANES uses only interviews, while NHIS adds physical examinations.","***NHANES adds physical examinations to interviews, while NHIS uses interviews only.",NHANES gathers published research articles instead of information from participants.,
